"Account Name","Processed Date","Description","Check Number","Credit or Debit","Amount"
"Rosatis Pizza",2025-05-28,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011893646",,"Debit",901.62
"Rosatis Pizza",2025-05-28,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8723217 W040",,"Debit",600.00
"Rosatis Pizza",2025-05-28,"TRANSFER FROM X1239 TO X4649",,"Credit",680.00
"Rosatis Pizza",2025-05-27,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011886696",,"Debit",901.62
"Rosatis Pizza",2025-05-27,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",6002.01
"Rosatis Pizza",2025-05-27,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",5305.95
"Rosatis Pizza",2025-05-27,"ILLINOIS-AMERICA PAYMENT ROSATIS PIZZA 220040678311",,"Debit",33.77
"Rosatis Pizza",2025-05-27,"DBT CRD CARD# 1567 05/24/25 1020 THE WEBSTAURANT STORE LANCASTER     PADBYWJYGL",,"Debit",276.21
"Rosatis Pizza",2025-05-27,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2335.80
"Rosatis Pizza",2025-05-27,"AMERICAN WATER E BILLPAY ROSITASI PIZZA AMERICAN WATER",,"Debit",400.00
"Rosatis Pizza",2025-05-27,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",4183.01
"Rosatis Pizza",2025-05-27,"TRANSFER FROM X4649 TO X1239",,"Debit",2000.00
"Rosatis Pizza",2025-05-27,"WASTE MANAGEMENT PAYMENT JAY PATEL 000297774583000",,"Debit",69.73
"Rosatis Pizza",2025-05-27,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011886695",,"Debit",901.62
"Rosatis Pizza",2025-05-27,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8719686 W039",,"Debit",600.00
"Rosatis Pizza",2025-05-27,"REWARDS NETWORK  SETTLEMENT ROSATI'S PIZZA 38313-029845972",,"Debit",2572.98
"Rosatis Pizza",2025-05-27,"AMERICAN WATER E BILLPAY ROSITASI PIZZA AMERICAN WATER",,"Debit",1000.00
"Rosatis Pizza",2025-05-27,"AMERICAN WATER E BILLPAY ROSITASI PIZZA AMERICAN WATER",,"Debit",1000.00
"Rosatis Pizza",2025-05-27,"GRECO_BELLISSIMO SINGLE SRI GANESH FOODS INC 630GRECOILLI",,"Debit",8254.21
"Rosatis Pizza",2025-05-23,"OD RETURN ITEM CREDIT",,"Credit",7940.00
"Rosatis Pizza",2025-05-23,"GRUBHUB INC      MAY ACTVTY SRI PAGANO 25052321NF6FB3B",,"Credit",90.99
"Rosatis Pizza",2025-05-23,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",4206.57
"Rosatis Pizza",2025-05-23,"CALL FORCE ONE   CALL FORCE ROSATIS PONTOON 30",,"Debit",199.65
"Rosatis Pizza",2025-05-23,"RETURN ITEM FEE",,"Debit",35.00
"Rosatis Pizza",2025-05-23,"DOORDASH, INC.   5257 IL-11 SRI GANESH FOODS INC ST-F9C8I8Z3K0C5",,"Credit",897.78
"Rosatis Pizza",2025-05-23,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011878695",,"Debit",901.62
"Rosatis Pizza",2025-05-23,"CHECK 415",415,"Debit",600.00
"Rosatis Pizza",2025-05-23,"RETURN ITEM FEE",,"Debit",35.00
"Rosatis Pizza",2025-05-23,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8714634 W038",,"Debit",600.00
"Rosatis Pizza",2025-05-23,"OD RETURN ITEM CREDIT",,"Credit",8995.54
"Rosatis Pizza",2025-05-23,"TRANSFER FROM X4649 TO X1239",,"Debit",5500.00
"Rosatis Pizza",2025-05-22,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011872485",,"Debit",901.62
"Rosatis Pizza",2025-05-22,"IL DEPT OF REVEN EDI PYMNTS ROSATIS PIZZA OF PONTO 00000179617712 TXP*45038041*0411*20250331*T*8 99554\",,"Debit",8995.54
"Rosatis Pizza",2025-05-22,"ROBERT CHICK FRI FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",58.10
"Rosatis Pizza",2025-05-22,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8707177 W037",,"Debit",600.00
"Rosatis Pizza",2025-05-22,"RETURN ITEM FEE",,"Debit",35.00
"Rosatis Pizza",2025-05-22,"POINTE PEST CONT 4698096852 JAY PATEL",,"Debit",85.00
"Rosatis Pizza",2025-05-22,"IL DEPT OF REVEN EDI PYMNTS ROSATIS PIZZA OF PONTO 00001969479600 TXP*45038041*0411*20250430*T*7 94000\",,"Debit",7940.00
"Rosatis Pizza",2025-05-22,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",4124.08
"Rosatis Pizza",2025-05-22,"OD RETURN ITEM CREDIT",,"Credit",2572.98
"Rosatis Pizza",2025-05-21,"REWARDS NETWORK  SETTLEMENT ROSATI'S PIZZA 38296-029837088",,"Debit",2572.98
"Rosatis Pizza",2025-05-21,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011866364",,"Debit",901.62
"Rosatis Pizza",2025-05-21,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8701935 W036",,"Debit",600.00
"Rosatis Pizza",2025-05-21,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2420.49
"Rosatis Pizza",2025-05-21,"INTEGRA GRAPHICS ACH ROSATIS PONTOON BEACH ACH",,"Debit",371.12
"Rosatis Pizza",2025-05-20,"TRANSFER FROM X4649 TO X1239",,"Debit",6500.00
"Rosatis Pizza",2025-05-20,"DBT CRD CARD# 1567 05/19/25 2316 THE WEBSTAURANT STORE LANCASTER     PADB20SD14",,"Debit",99.00
"Rosatis Pizza",2025-05-20,"TRANSFER FROM X4649 TO X1239",,"Debit",900.00
"Rosatis Pizza",2025-05-20,"CHECK 20414",20414,"Debit",161.80
"Rosatis Pizza",2025-05-20,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",5291.64
"Rosatis Pizza",2025-05-20,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8695974 W035",,"Debit",600.00
"Rosatis Pizza",2025-05-20,"ROSATI'S PIZZA E ACH DEBIT JAYESH PATEL 9026343256",,"Debit",1849.23
"Rosatis Pizza",2025-05-20,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011860277",,"Debit",901.62
"Rosatis Pizza",2025-05-20,"UBER USA 6787    EDI PAYMNT SRI GANESH FOODS INC BSVAWQRTQKJWCI7 REF*TN*BSVAWQRTQK\",,"Credit",540.93
"Rosatis Pizza",2025-05-20,"PAYONEER 7362    EDI PAYMNT SRI GANESH FOODS INC 366185019320079 REF*TN*3661850193*EZCATER PAYM ENT\",,"Credit",831.61
"Rosatis Pizza",2025-05-20,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2901.43
"Rosatis Pizza",2025-05-19,"TRANSFER FROM X4649 TO X5247",,"Debit",3800.00
"Rosatis Pizza",2025-05-19,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",9173.38
"Rosatis Pizza",2025-05-19,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011854108",,"Debit",901.62
"Rosatis Pizza",2025-05-19,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",6479.44
"Rosatis Pizza",2025-05-19,"GRECO_BELLISSIMO SINGLE SRI GANESH FOODS INC 630GRECOILLI",,"Debit",9000.00
"Rosatis Pizza",2025-05-19,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8691151 W034",,"Debit",600.00
"Rosatis Pizza",2025-05-16,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011847962",,"Debit",901.62
"Rosatis Pizza",2025-05-16,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3580.58
"Rosatis Pizza",2025-05-16,"DOORDASH, INC.   5257 IL-11 SRI GANESH FOODS INC ST-C8H6Z8H8O9E5",,"Credit",1266.71
"Rosatis Pizza",2025-05-16,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",4025.35
"Rosatis Pizza",2025-05-16,"TRANSFER FROM X4649 TO X1239",,"Debit",7500.00
"Rosatis Pizza",2025-05-16,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8686005 W033",,"Debit",600.00
"Rosatis Pizza",2025-05-16,"GRUBHUB INC      MAY ACTVTY SRI PAGANO 25051614NF6FB3B",,"Credit",228.84
"Rosatis Pizza",2025-05-15,"CALL FORCE ONE   CALL FORCE ROSATIS PONTOON 30",,"Debit",163.35
"Rosatis Pizza",2025-05-15,"ROBERT CHICK FRI FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",263.70
"Rosatis Pizza",2025-05-15,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011841794",,"Debit",901.62
"Rosatis Pizza",2025-05-15,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8678901 W032",,"Debit",600.00
"Rosatis Pizza",2025-05-15,"TRANSFER FROM X1239 TO X4649",,"Credit",2651.00
"Rosatis Pizza",2025-05-15,"CHECK 20413",20413,"Debit",750.00
"Rosatis Pizza",2025-05-14,"TRANSFER FROM X4665 TO X4649",,"Credit",1703.00
"Rosatis Pizza",2025-05-14,"STOKES DISTRIBUT FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Credit",24.90
"Rosatis Pizza",2025-05-14,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011835686",,"Debit",901.62
"Rosatis Pizza",2025-05-14,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8673687 W031",,"Debit",600.00
"Rosatis Pizza",2025-05-14,"W/D SVC 1154 05/14/25 00002731 03 ROSATI S PIZZA 5147 PAGANO CT PONTOON BEACHIL C# 1567",,"Debit",3.00
"Rosatis Pizza",2025-05-14,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2696.05
"Rosatis Pizza",2025-05-14,"ATM W/D CARD# 1567 05/14/25 1154 03 ROSATI S PIZZA 5147 PAGANO CT PONTOON BEACH IL00002731",,"Debit",503.00
"Rosatis Pizza",2025-05-14,"REWARDS NETWORK  SETTLEMENT ROSATI'S PIZZA 38274-029814151",,"Debit",2640.82
"Rosatis Pizza",2025-05-14,"TRANSFER FROM X4665 TO X4649",,"Credit",560.00
"Rosatis Pizza",2025-05-14,"INTEGRA GRAPHICS ACH ROSATIS PONTOON BEACH ACH",,"Debit",274.47
"Rosatis Pizza",2025-05-13,"ROSATI'S PIZZA E ACH DEBIT JAYESH PATEL 9026273854",,"Debit",1806.27
"Rosatis Pizza",2025-05-13,"PRAIRIESTATEGAMI VGTPAYMENT ROSATISPIZZA ROSATISPIZZA",,"Credit",1411.41
"Rosatis Pizza",2025-05-13,"UBER USA 6787    EDI PAYMNT SRI GANESH FOODS INC 7H8XZ2MO2WEUOL4 REF*TN*7H8XZ2MO2W\",,"Credit",565.65
"Rosatis Pizza",2025-05-13,"TRANSFER FROM X4649 TO X4665",,"Debit",1675.00
"Rosatis Pizza",2025-05-13,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011829609",,"Debit",901.62
"Rosatis Pizza",2025-05-13,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8668838 W030",,"Debit",600.00
"Rosatis Pizza",2025-05-13,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2636.29
"Rosatis Pizza",2025-05-12,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",5698.11
"Rosatis Pizza",2025-05-12,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",5227.77
"Rosatis Pizza",2025-05-12,"STOKES DISTRIBUT FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",104.50
"Rosatis Pizza",2025-05-12,"PHS ENTERPRISES  ACH COLLEC SRI GANESH FOODS INC ROSATI'S PIZZA",,"Debit",1847.75
"Rosatis Pizza",2025-05-12,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",4748.98
"Rosatis Pizza",2025-05-12,"DBT CRD CARD# 1567 05/11/25 0444 REPEAT RETURNS FLORENCE      KYDBY472BK",,"Debit",60.00
"Rosatis Pizza",2025-05-12,"GRECO_BELLISSIMO SINGLE SRI GANESH FOODS INC 630GRECOILLI",,"Debit",3674.19
"Rosatis Pizza",2025-05-12,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8663562 W029",,"Debit",600.00
"Rosatis Pizza",2025-05-12,"CALL FORCE ONE   CALL FORCE ROSATIS PONTOON 30",,"Debit",214.50
"Rosatis Pizza",2025-05-12,"TRANSFER FROM X4649 TO X1239",,"Debit",10000.00
"Rosatis Pizza",2025-05-12,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011823461",,"Debit",901.62
"Rosatis Pizza",2025-05-09,"TRANSFER FROM X4649 TO X5247",,"Debit",1800.00
"Rosatis Pizza",2025-05-09,"DOORDASH, INC.   5257 IL-11 SRI GANESH FOODS INC ST-L4N8L1A8S5B7",,"Credit",1205.58
"Rosatis Pizza",2025-05-09,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8658429 W028",,"Debit",600.00
"Rosatis Pizza",2025-05-09,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011817332",,"Debit",901.62
"Rosatis Pizza",2025-05-09,"TRANSFER FROM X4649 TO X4665",,"Debit",630.00
"Rosatis Pizza",2025-05-09,"CHECK 20412",20412,"Debit",800.00
"Rosatis Pizza",2025-05-09,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",4669.45
"Rosatis Pizza",2025-05-09,"LIBERTY          MUTUAL SRI GANESH REALTY 2 *L 2920193",,"Debit",424.75
"Rosatis Pizza",2025-05-09,"GRUBHUB INC      MAY ACTVTY SRI PAGANO 25050907NF6FB3B",,"Credit",38.12
"Rosatis Pizza",2025-05-08,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3676.99
"Rosatis Pizza",2025-05-08,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011811202",,"Debit",901.62
"Rosatis Pizza",2025-05-08,"DEPOSIT/CREDIT RE:",,"Credit",1288.00
"Rosatis Pizza",2025-05-08,"TRANSFER FROM X4649 TO X5669",,"Debit",1780.00
"Rosatis Pizza",2025-05-08,"ROBERT CHICK FRI FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",352.45
"Rosatis Pizza",2025-05-08,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8651016 W027",,"Debit",600.00
"Rosatis Pizza",2025-05-07,"TRANSFER FROM X1239 TO X4649",,"Credit",100.00
"Rosatis Pizza",2025-05-07,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011805138",,"Debit",901.62
"Rosatis Pizza",2025-05-07,"ADT SECURITY SER ADTPAPACH ROSATI'S PIZZA 404873621",,"Debit",57.23
"Rosatis Pizza",2025-05-07,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8645606 W026",,"Debit",600.00
"Rosatis Pizza",2025-05-07,"REWARDS NETWORK  SETTLEMENT ROSATI'S PIZZA 38252-029791260",,"Debit",2320.00
"Rosatis Pizza",2025-05-07,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3277.89
"Rosatis Pizza",2025-05-06,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2851.29
"Rosatis Pizza",2025-05-06,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011799134",,"Debit",901.62
"Rosatis Pizza",2025-05-06,"PAYONEER 7362    EDI PAYMNT SRI GANESH FOODS INC 366185001864775 REF*TN*3661850018*EZCATER PAYM ENT\",,"Credit",396.01
"Rosatis Pizza",2025-05-06,"SWITCH COMMERCE  0430 FUND SRI GANESH FOODS INC 187094",,"Credit",136.50
"Rosatis Pizza",2025-05-06,"ROSATI'S PIZZA E ACH DEBIT JAYESH PATEL 9026080348",,"Debit",1777.69
"Rosatis Pizza",2025-05-06,"UBER USA 6787    EDI PAYMNT SRI GANESH FOODS INC Q2WWST6ASH53BAO REF*TN*Q2WWST6ASH\",,"Credit",379.30
"Rosatis Pizza",2025-05-06,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8640316 W025",,"Debit",600.00
"Rosatis Pizza",2025-05-05,"GRECO_BELLISSIMO SINGLE SRI GANESH FOODS INC 630GRECOILLI",,"Debit",5991.88
"Rosatis Pizza",2025-05-05,"PAYTRONIXCASH CD CASH C&D 1946 - SRI GANESH FOOD 1946 - SRI GANE",,"Credit",113.52
"Rosatis Pizza",2025-05-05,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3642.04
"Rosatis Pizza",2025-05-05,"TRANSFER FROM X1239 TO X4649",,"Credit",800.00
"Rosatis Pizza",2025-05-05,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",11468.06
"Rosatis Pizza",2025-05-05,"PBG - G&A OU     CORP PMT 2004156387 ROSATIS PIZ 050320252154113",,"Debit",1333.84
"Rosatis Pizza",2025-05-05,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011793041",,"Debit",901.62
"Rosatis Pizza",2025-05-05,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8635033 W024",,"Debit",600.00
"Rosatis Pizza",2025-05-05,"CHECK 20410",20410,"Debit",800.00
"Rosatis Pizza",2025-05-05,"TRANSFER FROM X4649 TO X1239",,"Debit",7000.00
"Rosatis Pizza",2025-05-02,"CLEAN AR         CLEAN ACH ROSATI'S PIZZA 6218764",,"Debit",622.88
"Rosatis Pizza",2025-05-02,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3734.04
"Rosatis Pizza",2025-05-02,"SOCIETY INSURANC 8885762438 JAY PATEL 421189261158",,"Debit",1377.24
"Rosatis Pizza",2025-05-02,"GRUBHUB INC      APR ACTVTY SRI PAGANO 25050201NF6FB3B",,"Credit",52.85
"Rosatis Pizza",2025-05-02,"SHIFT4           FEES ROSATIS PIZZA - PONTOO 068880021925288",,"Debit",3935.67
"Rosatis Pizza",2025-05-02,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3084.58
"Rosatis Pizza",2025-05-02,"PLP COMMUNICATIO PAYMENT PATEL,JAY 202158432395 202158432395",,"Debit",195.41
"Rosatis Pizza",2025-05-02,"ROSATI'S PIZZA E ACH DEBIT JAYESH PATEL 9025589874",,"Debit",99.00
"Rosatis Pizza",2025-05-02,"SHIFT4           FEES ROSATIS PIZZA - PONTOO 068880021925296",,"Debit",30.00
"Rosatis Pizza",2025-05-02,"DOORDASH, INC.   5257 IL-11 SRI GANESH FOODS INC ST-X4Q5T1D3K9R9",,"Credit",1366.11
"Rosatis Pizza",2025-05-02,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8629971 W023",,"Debit",600.00
"Rosatis Pizza",2025-05-02,"GRUBHUB INC      APR ACTVTY SRI PAGANO 25050230NF6FB3B",,"Credit",242.02
"Rosatis Pizza",2025-05-02,"ARROW POS, INC.  MTHLY SUPP ROSATIS PIZZA PONTOON 614-657-5060",,"Debit",129.00
"Rosatis Pizza",2025-05-02,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011786985",,"Debit",901.62
"Rosatis Pizza",2025-05-01,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011780908",,"Debit",901.62
"Rosatis Pizza",2025-05-01,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8622710 W022",,"Debit",600.00
"Rosatis Pizza",2025-05-01,"TRANSFER FROM X1239 TO X4649",,"Credit",2100.00
"Rosatis Pizza",2025-05-01,"KOERNER DISTRIBU FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",145.00
"Rosatis Pizza",2025-05-01,"ROBERT CHICK FRI FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",184.25
"Rosatis Pizza",2025-05-01,"CHECK 20411",20411,"Debit",285.00
"Rosatis Pizza",2025-04-30,"TRANSFER FROM X1239 TO X4649",,"Credit",1200.00
"Rosatis Pizza",2025-04-30,"REWARDS NETWORK  SETTLEMENT ROSATI'S PIZZA 38228-029767586",,"Debit",2336.60
"Rosatis Pizza",2025-04-30,"CALL FORCE ONE   CALL FORCE ROSATIS PONTOON 30",,"Debit",193.05
"Rosatis Pizza",2025-04-30,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2659.94
"Rosatis Pizza",2025-04-30,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8617540 W021",,"Debit",600.00
"Rosatis Pizza",2025-04-30,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011774855",,"Debit",901.62
"Rosatis Pizza",2025-04-29,"PAYONEER 7362    EDI PAYMNT SRI GANESH FOODS INC 366184983704428 REF*TN*3661849837*EZCATER PAYM ENT\",,"Credit",142.71
"Rosatis Pizza",2025-04-29,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8611957 W020",,"Debit",600.00
"Rosatis Pizza",2025-04-29,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011768825",,"Debit",901.62
"Rosatis Pizza",2025-04-29,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",2770.63
"Rosatis Pizza",2025-04-29,"UBER USA 6787    EDI PAYMNT SRI GANESH FOODS INC 4328CT4RV3NCQHE REF*TN*4328CT4RV3\",,"Credit",684.21
"Rosatis Pizza",2025-04-29,"ROSATI'S PIZZA E ACH DEBIT JAYESH PATEL 9026004721",,"Debit",1891.54
"Rosatis Pizza",2025-04-28,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",4646.72
"Rosatis Pizza",2025-04-28,"CALL FORCE ONE   CALL FORCE ROSATIS PONTOON 30",,"Debit",173.25
"Rosatis Pizza",2025-04-28,"ACCURATE ACCOUNT ACH SRI GANESH FOODS INC SRI GANESH FOOD",,"Debit",325.00
"Rosatis Pizza",2025-04-28,"GRECO_BELLISSIMO SINGLE SRI GANESH FOODS INC 630GRECOILLI",,"Debit",19101.21
"Rosatis Pizza",2025-04-28,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",3691.57
"Rosatis Pizza",2025-04-28,"YZBIZINC         ACHPAYMENT ROSATIS PIZZA 8607397 W019",,"Debit",600.00
"Rosatis Pizza",2025-04-28,"STOKES DISTRIBUT FINTECHEFT SRI GANESH FOODS INC R 92-3646577",,"Debit",623.40
"Rosatis Pizza",2025-04-28,"TRANSFER FROM X1239 TO X4649",,"Credit",5400.00
"Rosatis Pizza",2025-04-28,"EBF HOLDINGS LLC EBF DEBIT SRI GANESH FOODS INC. 000000011762750",,"Debit",901.62
"Rosatis Pizza",2025-04-28,"SOCIAL PAGE SOLU SALE PONTOON BEACH ROSATI S",,"Debit",200.00
"Rosatis Pizza",2025-04-28,"SHIFT4           PYMT PROC ROSATIS PIZZA - PONTOO 068880021925288",,"Credit",5190.37
"Rosatis Pizza",2025-04-28,"ILLINOIS-AMERICA PAYMENT ROSATIS PIZZA 220040678311",,"Debit",33.77
